year,chapter,district,case_count
2010,12,debk,2
2010,12,flmbk,30
2010,12,flnbk,2
2010,12,flsbk,4
2010,12,gambk,29
2010,12,ganbk,6
2010,12,gasbk,6
2010,12,hibk,1
2010,12,ianbk,6
2010,12,iasbk,1
2010,12,idbk,12
2010,12,ilcbk,4
2010,12,ilnbk,4
2010,12,ilsbk,1
2010,12,innbk,3
2010,12,insbk,4
2010,12,ksbk,18
2010,12,kyebk,3
2010,12,kywbk,7
2010,12,laebk,1
2010,12,lambk,1
2010,12,lawbk,9
2010,12,mabk,12
2010,12,mdbk,5
2010,12,miebk,12
2010,12,miwbk,12
2010,12,mnbk,13
2010,12,moebk,3
2010,12,mowbk,13
2010,12,msnbk,12
2010,12,mssbk,2
2010,12,mtbk,11
2010,12,ncebk,10
2010,12,ncwbk,3
2010,12,ndbk,3
2010,12,nebk,28
2010,12,njbk,4
2010,12,nmbk,4
2010,12,nynbk,19
2010,12,nywbk,2
2010,12,ohnbk,3
2010,12,ohsbk,8
2010,12,okebk,2
2010,12,oknbk,1
2010,12,okwbk,9
2010,12,orbk,13
2010,12,paebk,6
2010,12,pambk,7
2010,12,pawbk,11
2010,12,prbk,16
2010,12,scbk,1
2010,12,sdbk,3
2010,12,tnebk,17
2010,12,tnmbk,4
2010,12,txebk,3
2010,12,txnbk,10
2010,12,txsbk,12
2010,12,txwbk,3
2010,12,utbk,4
2010,12,vaebk,3
2010,12,vawbk,4
2010,12,vtbk,3
2010,12,waebk,6
2010,12,wawbk,4
2010,12,wiebk,13
2010,12,wiwbk,29
2010,13,akbk,5481
2010,13,almbk,5392
2010,13,alnbk,8690
2010,13,alsbk,3823
2010,13,arebk,4344
2010,13,arwbk,2366
2010,13,azbk,11727
2010,13,cacbk,27701
2010,13,caebk,165
2010,13,canbk,9087
2010,13,casbk,4002
2010,13,cobk,4648
2010,13,ctbk,981
2010,13,dcbk,458
2010,13,debk,751
2010,13,flmbk,14833
2010,13,flnbk,524
2010,13,flsbk,9605
2010,13,gambk,7034
2010,13,ganbk,18022
2010,13,gasbk,7470
2010,13,gubk,317
2010,13,hibk,671
2010,13,ianbk,133
2010,13,iasbk,556
2010,13,idbk,871
2010,13,ilcbk,2036
2010,13,ilnbk,12998
2010,13,ilsbk,2265
2010,13,innbk,3524
2010,13,insbk,7440
2010,13,ksbk,3069
2010,13,kyebk,2706
2010,13,kywbk,2784
2010,13,laebk,1958
2010,13,lambk,720
2010,13,lawbk,8308
2010,13,mabk,4517
2010,13,mdbk,6291
2010,13,mebk,845
2010,13,miebk,7308
2010,13,miwbk,1685
2010,13,mnbk,2632
2010,13,moebk,4200
2010,13,mowbk,4016
2010,13,msnbk,2954
2010,13,mssbk,3030
2010,13,mtbk,348
2010,13,ncebk,6504
2010,13,ncmbk,3070
2010,13,ncwbk,1928
2010,13,ndbk,169
2010,13,nebk,1894
2010,13,nhbk,564
2010,13,njbk,7936
2010,13,nmbk,427
2010,13,nmibk,5
2010,13,nvbk,6040
2010,13,nyebk,3115
2010,13,nynbk,2410
2010,13,nysbk,1915
2010,13,nywbk,2260
2010,13,ohnbk,6122
2010,13,ohsbk,9103
2010,13,okebk,224
2010,13,oknbk,409
2010,13,okwbk,1594
2010,13,orbk,3999
2010,13,paebk,4374
2010,13,pambk,2741
2010,13,pawbk,2799
2010,13,prbk,7107
2010,13,scbk,4410
2010,13,sdbk,177
2010,13,tnebk,5755
2010,13,tnmbk,4913
2010,13,tnwbk,12442
2010,13,txebk,3041
2010,13,txnbk,9208
2010,13,txsbk,7866
2010,13,txwbk,5374
2010,13,utbk,5432
2010,13,vaebk,8137
2010,13,vawbk,2384
2010,13,vibk,32
2010,13,vtbk,297
2010,13,waebk,1316
2010,13,wawbk,5177
2010,13,wiebk,3949
2010,13,wiwbk,920
2010,13,wvnbk,279
2010,13,wvsbk,246
2010,13,wybk,212
2010,7,akbk,36132
2010,7,almbk,2924
2010,7,alnbk,11429
2010,7,alsbk,2342
2010,7,arebk,5415
2010,7,arwbk,4600
2010,7,azbk,26629
2010,7,cacbk,110071
